timestamp,flow,voltage,label
2026-04-01 12:11:54.802310,5.15,9.72,2
2026-04-01 12:11:59.802310,15.17,8.3,2
2026-04-01 12:12:04.802310,27.05,9.52,2
2026-04-01 12:12:09.802310,38.42,10.51,2
2026-04-01 12:12:14.802310,45.35,9.38,2
2026-04-01 12:12:19.802310,52.04,10.47,2
2026-04-01 12:12:24.802310,36.08,10.57,2
2026-04-01 12:12:29.802310,43.09,9.25,2
2026-04-01 12:12:34.802310,47.89,10.23,2
2026-04-01 12:12:39.802310,54.42,10.25,2
2026-04-01 12:12:44.802310,0.0,0.0,0
2026-04-01 12:12:49.802310,0.0,0.0,0
2026-04-01 12:12:54.802310,0.0,0.0,0
2026-04-01 12:12:59.802310,41.19,11.11,2
2026-04-01 12:13:04.802310,53.9,9.56,2
2026-04-01 12:13:09.802310,26.72,8.57,2
2026-04-01 12:13:14.802310,27.92,8.67,2
2026-04-01 12:13:19.802310,36.69,8.91,2
2026-04-01 12:13:24.802310,51.32,9.87,2
2026-04-01 12:13:29.802310,0.0,0.0,0
2026-04-01 12:13:34.802310,204.54,6.96,1
2026-04-01 12:13:39.802310,209.84,5.96,1
2026-04-01 12:13:44.802310,220.96,7.43,1
2026-04-01 12:13:49.802310,227.41,5.83,1
2026-04-01 12:13:54.802310,233.3,7.07,1
2026-04-01 12:13:59.802310,233.89,5.67,1
2026-04-01 12:14:04.802310,234.14,8.0,1
2026-04-01 12:14:09.802310,248.19,7.87,1
2026-04-01 12:14:14.802310,248.4,5.09,1
2026-04-01 12:14:19.802310,258.92,6.35,1
2026-04-01 12:14:24.802310,273.84,5.83,1
2026-04-01 12:14:29.802310,277.35,7.64,1
2026-04-01 12:14:34.802310,287.65,7.68,1
2026-04-01 12:14:39.802310,291.21,7.33,1
2026-04-01 12:14:44.802310,302.98,5.89,1
2026-04-01 12:14:49.802310,150.85,7.74,1
2026-04-01 12:14:54.802310,160.29,6.64,1
2026-04-01 12:14:59.802310,166.16,6.31,1
2026-04-01 12:15:04.802310,180.16,6.97,1
2026-04-01 12:15:09.802310,180.81,6.23,1
2026-04-01 12:15:14.802310,188.28,5.85,1
2026-04-01 12:15:19.802310,199.81,7.26,1
2026-04-01 12:15:24.802310,205.44,7.35,1
2026-04-01 12:15:29.802310,219.84,5.14,1
2026-04-01 12:15:34.802310,229.04,7.58,1
2026-04-01 12:15:39.802310,229.9,7.4,1
2026-04-01 12:15:44.802310,234.83,7.05,1
2026-04-01 12:15:49.802310,247.15,6.11,1
2026-04-01 12:15:54.802310,260.82,7.73,1
2026-04-01 12:15:59.802310,263.9,7.73,1
2026-04-01 12:16:04.802310,273.8,6.21,1
2026-04-01 12:16:09.802310,278.26,5.96,1
2026-04-01 12:16:14.802310,291.97,6.73,1
2026-04-01 12:16:19.802310,296.5,6.74,1
2026-04-01 12:16:24.802310,308.72,5.9,1
2026-04-01 12:16:29.802310,94.29,7.26,1
2026-04-01 12:16:34.802310,98.24,5.11,1
2026-04-01 12:16:39.802310,98.86,6.93,1
2026-04-01 12:16:44.802310,99.92,5.5,1
2026-04-01 12:16:49.802310,112.01,7.84,1
2026-04-01 12:16:54.802310,112.27,5.11,1
2026-04-01 12:16:59.802310,123.5,6.11,1
2026-04-01 12:17:04.802310,128.57,5.15,1
2026-04-01 12:17:09.802310,131.42,5.62,1
2026-04-01 12:17:14.802310,140.93,6.42,1
2026-04-01 12:17:19.802310,152.91,7.5,1
2026-04-01 12:17:24.802310,158.84,5.53,1
2026-04-01 12:17:29.802310,165.47,6.08,1
2026-04-01 12:17:34.802310,176.83,5.28,1
2026-04-01 12:17:39.802310,179.79,6.59,1
2026-04-01 12:17:44.802310,188.81,6.13,1
2026-04-01 12:17:49.802310,200.07,7.66,1
2026-04-01 12:17:54.802310,200.9,6.23,1
2026-04-01 12:17:59.802310,208.15,5.78,1
2026-04-01 12:18:04.802310,213.62,7.94,1
2026-04-01 12:18:09.802310,228.39,5.57,1
2026-04-01 12:18:14.802310,240.84,5.98,1
2026-04-01 12:18:19.802310,252.63,6.29,1
2026-04-01 12:18:24.802310,262.5,5.89,1
2026-04-01 12:18:29.802310,269.19,5.97,1
2026-04-01 12:18:34.802310,278.94,6.52,1
2026-04-01 12:18:39.802310,283.08,6.03,1
2026-04-01 12:18:44.802310,291.8,5.46,1
2026-04-01 12:18:49.802310,304.6,5.62,1
2026-04-01 12:18:54.802310,0.93,11.25,2
2026-04-01 12:18:59.802310,10.8,10.54,2
2026-04-01 12:19:04.802310,19.31,9.05,2
2026-04-01 12:19:09.802310,30.23,9.65,2
2026-04-01 12:19:14.802310,33.19,9.37,2
2026-04-01 12:19:19.802310,45.3,8.73,2
2026-04-01 12:19:24.802310,46.72,9.43,2
2026-04-01 12:19:29.802310,56.47,9.88,2
2026-04-01 12:19:34.802310,0.0,0.0,0
2026-04-01 12:19:39.802310,0.0,0.0,0
2026-04-01 12:19:44.802310,0.73,9.41,2
2026-04-01 12:19:49.802310,1.97,11.3,2
2026-04-01 12:19:54.802310,3.73,10.93,2
2026-04-01 12:19:59.802310,9.77,9.87,2
2026-04-01 12:20:04.802310,15.92,10.49,2
2026-04-01 12:20:09.802310,22.36,8.51,2
2026-04-01 12:20:14.802310,25.31,8.45,2
2026-04-01 12:20:19.802310,26.0,8.43,2
2026-04-01 12:20:24.802310,27.32,9.68,2
2026-04-01 12:20:29.802310,30.05,11.61,2
2026-04-01 12:20:34.802310,38.93,11.13,2
2026-04-01 12:20:39.802310,46.16,11.25,2
2026-04-01 12:20:44.802310,55.31,11.31,2
2026-04-01 12:20:49.802310,272.21,7.51,1
2026-04-01 12:20:54.802310,285.36,5.79,1
2026-04-01 12:20:59.802310,288.36,7.17,1
2026-04-01 12:21:04.802310,291.93,5.8,1
2026-04-01 12:21:09.802310,301.4,5.9,1
2026-04-01 12:21:14.802310,0.0,0.0,0
2026-04-01 12:21:19.802310,0.0,0.0,0
2026-04-01 12:21:24.802310,1.8,9.5,2
2026-04-01 12:21:29.802310,14.79,8.86,2
2026-04-01 12:21:34.802310,19.54,8.08,2
2026-04-01 12:21:39.802310,20.29,10.66,2
2026-04-01 12:21:44.802310,31.08,11.39,2
2026-04-01 12:21:49.802310,39.79,9.85,2
2026-04-01 12:21:54.802310,41.53,10.44,2
