timestamp,current,voltage,temperature,vibration,label
2026-03-25 11:44:00.399819,-13.25,0.0,32.0,0,0
2026-03-25 11:44:05.399819,-13.52,0.0,32.0,0,0
2026-03-25 11:44:10.399819,-13.23,0.0,32.0,0,0
2026-03-25 11:44:15.399819,-13.44,6.36,39.86,0,1
2026-03-25 11:44:20.399819,-13.28,8.34,43.89,1,2
2026-03-25 11:44:25.399819,-13.04,9.35,45.67,1,2
2026-03-25 11:44:30.399819,-13.69,7.95,33.21,0,1
2026-03-25 11:44:35.399819,-13.54,7.23,33.81,0,1
2026-03-25 11:44:40.399819,-12.76,11.82,43.18,1,2
2026-03-25 11:44:45.399819,-13.12,0.0,32.0,0,0
2026-03-25 11:44:50.399819,-13.25,0.0,32.0,0,0
2026-03-25 11:44:55.399819,-13.32,5.63,33.33,0,1
2026-03-25 11:45:00.399819,-12.9,8.43,39.71,1,2
2026-03-25 11:45:05.399819,-13.24,8.27,47.44,1,2
2026-03-25 11:45:10.399819,-13.47,5.97,36.49,0,1
2026-03-25 11:45:15.399819,-12.96,9.74,35.36,1,2
2026-03-25 11:45:20.399819,-13.39,5.25,37.29,0,1
2026-03-25 11:45:25.399819,-13.15,8.45,38.6,1,2
2026-03-25 11:45:30.399819,-13.3,11.24,48.72,1,2
2026-03-25 11:45:35.399819,-14.0,0.0,32.0,0,0
2026-03-25 11:45:40.399819,-13.43,7.43,37.19,0,1
2026-03-25 11:45:45.399819,-13.38,6.32,35.22,0,1
2026-03-25 11:45:50.399819,-13.36,6.06,30.47,0,1
2026-03-25 11:45:55.399819,-13.59,0.0,32.0,0,0
2026-03-25 11:46:00.399819,-13.46,6.64,35.83,0,1
2026-03-25 11:46:05.399819,-13.42,0.0,32.0,0,0
2026-03-25 11:46:10.399819,-13.4,0.0,32.0,0,0
2026-03-25 11:46:15.399819,-13.4,5.1,36.46,0,1
2026-03-25 11:46:20.399819,-12.92,11.8,47.38,1,2
2026-03-25 11:46:25.399819,-12.99,10.01,48.81,1,2
2026-03-25 11:46:30.399819,-13.97,0.0,32.0,0,0
2026-03-25 11:46:35.399819,-13.1,0.0,32.0,0,0
2026-03-25 11:46:40.399819,-13.4,7.76,33.66,0,1
2026-03-25 11:46:45.399819,-13.08,8.52,52.45,1,2
2026-03-25 11:46:50.399819,-13.44,5.59,39.75,0,1
2026-03-25 11:46:55.399819,-13.66,6.58,31.63,0,1
2026-03-25 11:47:00.399819,-13.03,0.0,32.0,0,0
2026-03-25 11:47:05.399819,-13.72,0.0,32.0,0,0
2026-03-25 11:47:10.399819,-13.67,0.0,32.0,0,0
2026-03-25 11:47:15.399819,-13.83,0.0,32.0,0,0
2026-03-25 11:47:20.399819,-12.76,11.32,48.8,1,2
2026-03-25 11:47:25.399819,-13.63,5.72,31.33,0,1
2026-03-25 11:47:30.399819,-13.05,0.0,32.0,0,0
2026-03-25 11:47:35.399819,-12.91,9.36,44.68,1,2
2026-03-25 11:47:40.399819,-12.73,11.19,47.56,1,2
2026-03-25 11:47:45.399819,-13.07,8.59,51.35,1,2
2026-03-25 11:47:50.399819,-13.42,6.51,39.81,0,1
2026-03-25 11:47:55.399819,-12.95,10.63,42.55,1,2
2026-03-25 11:48:00.399819,-13.32,7.18,33.26,0,1
2026-03-25 11:48:05.399819,-13.43,0.0,32.0,0,0
2026-03-25 11:48:10.399819,-13.97,0.0,32.0,0,0
2026-03-25 11:48:15.399819,-13.27,9.11,35.23,1,2
2026-03-25 11:48:20.399819,-13.26,0.0,32.0,0,0
2026-03-25 11:48:25.399819,-13.08,0.0,32.0,0,0
2026-03-25 11:48:30.399819,-13.38,5.0,30.3,0,1
2026-03-25 11:48:35.399819,-13.17,11.98,52.8,1,2
2026-03-25 11:48:40.399819,-13.56,6.7,32.49,0,1
2026-03-25 11:48:45.399819,-13.36,7.8,34.81,0,1
2026-03-25 11:48:50.399819,-13.35,0.0,32.0,0,0
2026-03-25 11:48:55.399819,-13.81,0.0,32.0,0,0
2026-03-25 11:49:00.399819,-13.24,8.57,39.45,1,2
2026-03-25 11:49:05.399819,-12.99,11.45,42.29,1,2
2026-03-25 11:49:10.399819,-13.49,5.58,33.38,0,1
2026-03-25 11:49:15.399819,-13.85,0.0,32.0,0,0
2026-03-25 11:49:20.399819,-13.48,0.0,32.0,0,0
2026-03-25 11:49:25.399819,-13.61,0.0,32.0,0,0
2026-03-25 11:49:30.399819,-13.27,0.0,32.0,0,0
2026-03-25 11:49:35.399819,-13.47,0.0,32.0,0,0
2026-03-25 11:49:40.399819,-13.77,0.0,32.0,0,0
2026-03-25 11:49:45.399819,-13.32,6.88,32.98,0,1
2026-03-25 11:49:50.399819,-13.19,0.0,32.0,0,0
2026-03-25 11:49:55.399819,-13.31,7.32,35.79,0,1
2026-03-25 11:50:00.399819,-13.66,5.09,37.89,0,1
2026-03-25 11:50:05.399819,-13.07,10.31,41.18,1,2
2026-03-25 11:50:10.399819,-13.75,0.0,32.0,0,0
2026-03-25 11:50:15.399819,-13.34,0.0,32.0,0,0
2026-03-25 11:50:20.399819,-13.91,0.0,32.0,0,0
2026-03-25 11:50:25.399819,-12.76,11.28,46.9,1,2
2026-03-25 11:50:30.399819,-13.07,0.0,32.0,0,0
2026-03-25 11:50:35.399819,-13.33,6.17,34.94,0,1
2026-03-25 11:50:40.399819,-13.66,7.73,31.61,0,1
2026-03-25 11:50:45.399819,-13.34,5.46,30.88,0,1
2026-03-25 11:50:50.399819,-13.22,0.0,32.0,0,0
2026-03-25 11:50:55.399819,-12.78,8.33,54.87,1,2
2026-03-25 11:51:00.399819,-12.78,9.95,43.64,1,2
2026-03-25 11:51:05.399819,-13.02,8.67,47.2,1,2
2026-03-25 11:51:10.399819,-13.35,0.0,32.0,0,0
2026-03-25 11:51:15.399819,-13.22,0.0,32.0,0,0
2026-03-25 11:51:20.399819,-13.05,9.19,40.06,1,2
2026-03-25 11:51:25.399819,-13.14,8.1,39.63,1,2
2026-03-25 11:51:30.399819,-13.46,6.46,33.23,0,1
2026-03-25 11:51:35.399819,-13.7,6.38,33.24,0,1
2026-03-25 11:51:40.399819,-13.29,11.54,51.87,1,2
2026-03-25 11:51:45.399819,-13.66,0.0,32.0,0,0
2026-03-25 11:51:50.399819,-13.39,6.58,33.64,0,1
2026-03-25 11:51:55.399819,-13.47,6.11,36.94,0,1
2026-03-25 11:52:00.399819,-13.29,8.54,37.96,1,2
2026-03-25 11:52:05.399819,-13.24,9.43,53.37,1,2
2026-03-25 11:52:10.399819,-13.88,0.0,32.0,0,0
