timestamp,temp,voltage,label
2026-04-19 11:52:39.679892,27.0,4.0,2
2026-04-19 11:52:44.679892,27.0,4.0,2
2026-04-19 11:52:49.679892,27.0,4.0,2
2026-04-19 11:52:54.679892,27.0,4.0,2
2026-04-19 11:52:59.679892,27.0,4.0,2
2026-04-19 11:53:04.679892,27.0,4.0,2
2026-04-19 11:53:09.679892,27.0,4.0,2
2026-04-19 11:53:14.679892,27.0,4.0,2
2026-04-19 11:53:19.679892,27.0,4.0,2
2026-04-19 11:53:24.679892,27.0,4.0,2
2026-04-19 11:53:29.679892,25.55,2.64,1
2026-04-19 11:53:34.679892,25.02,2.4,1
2026-04-19 11:53:39.679892,25.97,2.47,1
2026-04-19 11:53:44.679892,25.04,2.95,1
2026-04-19 11:53:49.679892,25.31,2.36,1
2026-04-19 11:53:54.679892,25.06,2.52,1
2026-04-19 11:53:59.679892,25.4,2.41,1
2026-04-19 11:54:04.679892,25.08,2.47,1
2026-04-19 11:54:09.679892,25.5,2.44,1
2026-04-19 11:54:14.679892,25.24,2.9,1
2026-04-19 11:54:19.679892,25.86,2.26,1
2026-04-19 11:54:24.679892,0.0,0.0,0
2026-04-19 11:54:29.679892,27.0,4.0,2
2026-04-19 11:54:34.679892,27.0,4.0,2
2026-04-19 11:54:39.679892,27.0,4.0,2
2026-04-19 11:54:44.679892,27.0,4.0,2
2026-04-19 11:54:49.679892,27.0,4.0,2
2026-04-19 11:54:54.679892,25.68,2.43,1
2026-04-19 11:54:59.679892,25.5,2.54,1
2026-04-19 11:55:04.679892,25.39,2.09,1
2026-04-19 11:55:09.679892,25.35,2.48,1
2026-04-19 11:55:14.679892,25.87,2.63,1
2026-04-19 11:55:19.679892,25.12,2.33,1
2026-04-19 11:55:24.679892,27.0,4.0,2
2026-04-19 11:55:29.679892,27.0,4.0,2
2026-04-19 11:55:34.679892,27.0,4.0,2
2026-04-19 11:55:39.679892,27.0,4.0,2
2026-04-19 11:55:44.679892,27.0,4.0,2
2026-04-19 11:55:49.679892,25.12,2.61,1
2026-04-19 11:55:54.679892,25.51,2.98,1
2026-04-19 11:55:59.679892,25.46,2.71,1
2026-04-19 11:56:04.679892,25.09,2.7,1
2026-04-19 11:56:09.679892,25.22,2.39,1
2026-04-19 11:56:14.679892,25.2,2.16,1
2026-04-19 11:56:19.679892,25.69,2.52,1
2026-04-19 11:56:24.679892,25.6,2.45,1
2026-04-19 11:56:29.679892,25.86,2.81,1
2026-04-19 11:56:34.679892,25.02,2.07,1
2026-04-19 11:56:39.679892,25.64,2.72,1
2026-04-19 11:56:44.679892,25.12,2.44,1
2026-04-19 11:56:49.679892,25.77,2.82,1
2026-04-19 11:56:54.679892,25.11,2.26,1
2026-04-19 11:56:59.679892,25.57,2.91,1
2026-04-19 11:57:04.679892,25.21,2.79,1
2026-04-19 11:57:09.679892,25.12,2.05,1
2026-04-19 11:57:14.679892,25.21,2.14,1
2026-04-19 11:57:19.679892,25.58,2.23,1
2026-04-19 11:57:24.679892,25.96,2.59,1
2026-04-19 11:57:29.679892,25.24,2.43,1
2026-04-19 11:57:34.679892,25.03,2.93,1
2026-04-19 11:57:39.679892,25.05,2.49,1
2026-04-19 11:57:44.679892,25.34,2.72,1
2026-04-19 11:57:49.679892,25.64,2.31,1
2026-04-19 11:57:54.679892,25.8,2.73,1
2026-04-19 11:57:59.679892,25.14,2.29,1
2026-04-19 11:58:04.679892,25.3,2.06,1
2026-04-19 11:58:09.679892,0.0,0.0,0
2026-04-19 11:58:14.679892,25.97,2.29,1
2026-04-19 11:58:19.679892,25.38,2.6,1
2026-04-19 11:58:24.679892,25.4,2.62,1
2026-04-19 11:58:29.679892,25.62,2.24,1
2026-04-19 11:58:34.679892,25.91,2.85,1
2026-04-19 11:58:39.679892,25.39,2.91,1
2026-04-19 11:58:44.679892,25.95,2.03,1
2026-04-19 11:58:49.679892,27.0,4.0,2
2026-04-19 11:58:54.679892,27.0,4.0,2
2026-04-19 11:58:59.679892,27.0,4.0,2
