timestamp,current,voltage,temperature,vibration,fault
2026-03-06 14:26:43.359309,2.58,21.34,-31.8,0,1
2026-03-06 14:26:48.359309,2.44,5.89,70.57,0,1
2026-03-06 14:26:53.359309,1.19,15.43,57.06,0,1
2026-03-06 14:26:58.359309,1.61,10.48,53.14,0,1
2026-03-06 14:27:03.359309,0.56,7.15,28.56,0,1
2026-03-06 14:27:08.359309,1.71,14.98,-92.27,0,1
2026-03-06 14:27:13.359309,2.78,22.64,116.04,0,1
2026-03-06 14:27:18.359309,0.82,18.65,8.08,0,1
2026-03-06 14:27:23.359309,0.81,9.3,65.23,0,1
2026-03-06 14:27:28.359309,1.13,17.37,43.67,0,1
2026-03-06 14:27:33.359309,2.64,8.58,94.43,0,1
2026-03-06 14:27:38.359309,0.54,24.63,84.68,0,1
2026-03-06 14:27:43.359309,2.9,16.49,71.88,0,1
2026-03-06 14:27:48.359309,2.14,18.75,12.94,0,1
2026-03-06 14:27:53.359309,0.29,19.14,0.13,0,1
2026-03-06 14:27:58.359309,1.07,7.86,-71.54,0,1
2026-03-06 14:28:03.359309,0.83,5.59,125.31,0,1
2026-03-06 14:28:08.359309,0.21,17.47,32.93,0,1
2026-03-06 14:28:13.359309,0.46,10.05,110.74,0,1
2026-03-06 14:28:18.359309,0.08,24.16,-107.11,0,1
2026-03-06 14:28:23.359309,1.54,11.54,-43.8,0,1
2026-03-06 14:28:28.359309,0.83,20.32,-39.24,0,1
2026-03-06 14:28:33.359309,1.5,11.97,83.91,1,1
2026-03-06 14:28:38.359309,1.12,6.31,-97.28,0,1
2026-03-06 14:28:43.359309,0.41,21.85,34.77,0,1
2026-03-06 14:28:48.359309,2.36,18.19,-76.52,1,1
2026-03-06 14:28:53.359309,2.43,8.16,-69.14,0,1
2026-03-06 14:28:58.359309,2.39,7.34,124.72,1,1
2026-03-06 14:29:03.359309,0.47,6.37,-74.45,0,1
2026-03-06 14:29:08.359309,1.68,18.37,35.91,0,1
2026-03-06 14:29:13.359309,2.63,22.1,58.07,0,1
2026-03-06 14:29:18.359309,2.66,15.6,-15.69,0,1
2026-03-06 14:29:23.359309,0.76,5.44,52.65,0,1
2026-03-06 14:29:28.359309,2.56,14.73,83.8,0,1
2026-03-06 14:29:33.359309,0.61,15.93,-49.24,0,1
2026-03-06 14:29:38.359309,0.55,5.85,-22.82,0,1
2026-03-06 14:29:43.359309,0.3,5.29,-60.58,0,1
2026-03-06 14:29:48.359309,1.6,10.11,-11.05,1,1
2026-03-06 14:29:53.359309,0.55,21.06,108.07,0,1
2026-03-06 14:29:58.359309,1.23,13.72,-23.26,0,1
2026-03-06 14:30:03.359309,1.76,9.2,8.33,0,1
2026-03-06 14:30:08.359309,0.7,5.49,-83.49,0,1
2026-03-06 14:30:13.359309,2.96,14.14,-39.42,0,1
2026-03-06 14:30:18.359309,0.23,15.2,93.59,0,1
2026-03-06 14:30:23.359309,2.97,24.63,-4.83,0,1
2026-03-06 14:30:28.359309,2.08,7.79,-1.27,0,1
2026-03-06 14:30:33.359309,0.64,10.5,47.46,0,1
2026-03-06 14:30:38.359309,1.86,24.04,-5.79,0,1
2026-03-06 14:30:43.359309,0.98,19.6,106.25,0,1
2026-03-06 14:30:48.359309,0.31,20.54,41.28,0,1
2026-03-06 14:30:53.359309,2.26,8.69,-64.1,0,1
2026-03-06 14:30:58.359309,1.88,22.2,-86.0,1,1
2026-03-06 14:31:03.359309,1.56,18.19,-57.66,0,1
2026-03-06 14:31:08.359309,2.16,15.92,86.42,0,1
2026-03-06 14:31:13.359309,0.71,15.49,-88.09,0,1
2026-03-06 14:31:18.359309,2.77,17.99,3.65,0,1
2026-03-06 14:31:23.359309,2.78,10.63,115.74,0,1
2026-03-06 14:31:28.359309,0.6,14.11,119.78,0,1
2026-03-06 14:31:33.359309,2.73,16.45,44.04,0,1
2026-03-06 14:31:38.359309,2.05,11.52,116.93,0,1
2026-03-06 14:31:43.359309,1.76,24.11,66.06,0,1
2026-03-06 14:31:48.359309,1.59,9.92,-39.94,0,1
2026-03-06 14:31:53.359309,1.25,16.93,79.35,0,1
2026-03-06 14:31:58.359309,0.12,22.01,-94.6,0,1
2026-03-06 14:32:03.359309,0.02,15.12,113.63,0,1
2026-03-06 14:32:08.359309,0.42,23.15,-124.47,0,1
2026-03-06 14:32:13.359309,2.25,8.7,11.13,0,1
2026-03-06 14:32:18.359309,1.76,19.18,-102.48,0,1
2026-03-06 14:32:23.359309,1.77,5.44,40.78,0,1
2026-03-06 14:32:28.359309,1.03,6.71,78.86,0,1
