timestamp,current,voltage,temperature,vibration,fault
2026-03-07 01:16:47.466976,0.95,9.94,29.71,0,0
2026-03-07 01:16:52.466976,0.99,10.07,29.95,0,0
2026-03-07 01:16:57.466976,1.01,10.12,29.76,1,1
2026-03-07 01:17:02.466976,0.98,10.12,29.6,0,0
2026-03-07 01:17:07.466976,0.95,10.18,29.65,0,0
2026-03-07 01:17:12.466976,0.97,10.22,29.55,0,0
2026-03-07 01:17:17.466976,0.92,10.28,29.28,0,0
2026-03-07 01:17:22.466976,0.92,10.27,29.18,0,0
2026-03-07 01:17:27.466976,0.94,10.1,29.17,0,0
2026-03-07 01:17:32.466976,0.94,10.05,29.27,0,0
2026-03-07 01:17:37.466976,0.97,9.92,29.53,0,0
2026-03-07 01:17:42.466976,0.95,9.87,29.57,0,0
2026-03-07 01:17:47.466976,0.93,10.07,29.78,0,0
2026-03-07 01:17:52.466976,0.93,9.94,29.57,0,0
2026-03-07 01:17:57.466976,0.94,9.83,29.7,0,0
2026-03-07 01:18:02.466976,0.91,9.64,29.41,0,0
2026-03-07 01:18:07.466976,0.87,9.5,29.67,0,0
2026-03-07 01:18:12.466976,2.31,9.63,29.85,0,1
2026-03-07 01:18:17.466976,2.32,9.79,30.12,0,1
2026-03-07 01:18:22.466976,2.28,9.63,30.22,0,1
2026-03-07 01:18:27.466976,2.24,9.69,30.5,0,1
2026-03-07 01:18:32.466976,2.22,9.8,30.29,0,1
2026-03-07 01:18:37.466976,2.19,9.77,30.28,0,1
2026-03-07 01:18:42.466976,2.16,9.71,30.39,0,1
2026-03-07 01:18:47.466976,2.15,9.74,30.28,0,1
2026-03-07 01:18:52.466976,2.18,9.55,30.35,0,1
2026-03-07 01:18:57.466976,2.17,9.51,30.39,0,1
2026-03-07 01:19:02.466976,2.22,9.68,30.36,0,1
2026-03-07 01:19:07.466976,2.21,9.76,30.37,0,1
2026-03-07 01:19:12.466976,2.2,9.86,30.41,0,1
2026-03-07 01:19:17.466976,2.24,9.73,30.46,0,1
2026-03-07 01:19:22.466976,2.28,9.89,30.65,0,1
