timestamp,Current,Voltage,Temperature,Vibration
14:09:00,0.4,8.09,3.84,0
14:09:05,1.91,22.55,-96.48,1
14:09:10,1.43,24.46,-18.45,1
14:09:15,1.86,24.93,-60.55,1
14:09:20,2.12,14.94,85.21,0
14:09:25,1.68,24.38,121.45,0
14:09:30,0.01,23.3,-45.29,0
14:09:35,2.64,19.91,30.03,1
14:09:40,1.34,22.23,106.76,0
14:09:45,2.49,24.86,-112.59,1
14:09:50,2.72,12.35,-79.49,0
14:09:55,0.47,22.86,-107.68,0
14:10:00,2.47,19.53,-4.0,1
14:10:05,1.46,15.85,108.86,1
14:10:10,1.76,16.58,119.41,0
14:10:15,0.67,13.6,38.9,0
14:10:20,1.08,21.01,123.59,0
14:10:25,1.47,10.23,-19.69,1
14:10:30,0.97,19.08,-35.76,1
14:10:35,2.22,22.32,101.91,0
14:10:40,1.76,20.07,116.72,0
14:10:45,0.46,18.66,59.29,0
14:10:50,0.99,17.87,2.17,1
14:10:55,1.85,18.79,45.93,1
14:11:00,1.97,14.15,61.82,0
14:11:05,2.66,20.8,12.75,1
14:11:10,1.62,22.39,28.51,0
14:11:15,2.93,9.88,24.36,0
14:11:20,0.95,17.61,92.03,1
14:11:25,1.23,11.87,33.73,1
14:11:30,2.39,19.6,71.53,0
14:11:35,1.42,8.49,-67.26,1
14:11:40,2.04,14.46,114.87,1
14:11:45,2.12,24.66,45.99,0
14:11:50,1.85,14.97,-113.55,1
14:11:55,0.58,12.13,102.17,0
14:12:00,0.86,12.16,43.95,0
14:12:05,0.82,20.57,-29.77,1
14:12:10,0.65,16.67,-54.6,1
14:12:15,1.92,17.44,1.45,1
14:12:20,0.96,12.58,-106.9,1
14:12:25,2.39,11.12,-6.64,0
14:12:30,2.34,18.81,-115.54,1
14:12:35,0.44,24.98,-43.64,0
14:12:40,0.18,18.43,54.36,0
14:12:45,2.14,20.36,54.06,0
14:12:50,2.76,23.23,118.44,0
14:12:55,2.26,21.53,69.64,0
14:13:00,2.82,15.85,-106.6,1
14:13:05,2.9,21.84,47.04,0
14:13:10,0.18,20.88,-82.32,1
14:13:15,2.32,8.94,67.51,0
14:13:20,1.19,19.42,-59.63,1
14:13:25,1.37,24.91,13.06,0
